episodes,sum_wins,avg_actor_loss,avg_critic_loss,avg_actor_grad_norm,avg_critic_grad_norm,avg_actor_learning_rate,avg_critic_learning_rate,avg_reward
1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0459013692706263
2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.489469651580196
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5224858944180282
4,1,0.0,0.0,0.0,0.0,0.0,0.0,1.035840900907827
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.10036852644647483
6,1,-0.9079019076057843,4.267666923756502,0.4233490975326573,1.119672963205649,7.95913195915456e-05,7.95913195915456e-05,0.5625669173216779
7,1,-1.598457467799284,4.607435090201242,3.2960296066439883,2.4196534704188912,9.999470024327084e-05,9.999470024327084e-05,0.3340671822061592
8,1,-2.439767071178981,3.871133478320375,2.0341908992553246,5.3830106866603,9.998400194809201e-05,9.998400194809201e-05,0.3098983924360807
9,1,-3.1303822653634206,3.4101503625208016,3.822516475405012,33.34897776039279,9.996738333082959e-05,9.996738333082959e-05,1.3935059442360598
10,1,-3.947236051364821,3.1661195755004883,5.502642453933249,32.35275120637855,9.994484832950619e-05,9.994484832950619e-05,0.8602521903601448
11,1,-4.906416352914304,3.4455881848627206,4.204055464997584,65.31649352093132,9.99164022841177e-05,9.99164022841177e-05,0.7453378495603529
12,1,-5.860653916183783,3.6008137342881184,3.3127351305922685,61.59101256545709,9.988205193536774e-05,9.988205193536774e-05,0.19835495667002723
13,1,-6.797645812131921,3.7068499448348065,3.0811990973900776,50.71039985150707,9.984180542307018e-05,9.984180542307018e-05,0.8438834124325613
14,1,-7.7416612858674965,3.8596472983457604,3.1418925572414786,60.10462723946085,9.979567228422063e-05,9.979567228422063e-05,0.3415726819574173
15,1,-8.820199187921018,4.903850998197283,2.7817063149140804,96.43227536337716,9.974366345073624e-05,9.974366345073624e-05,1.7777562200357573
16,1,-9.631457348259127,5.6697850713924485,5.102408579417637,78.9968295778547,9.968579124686546e-05,9.968579124686546e-05,1.2087674223277953
17,1,-10.865369368572624,6.284369853078102,6.822400895916686,188.26357218683984,9.962206938626739e-05,9.962206938626739e-05,1.0232815679881266
18,1,-11.251937846748197,7.627595064591389,5.089109990061546,193.65942503481494,9.955251296876225e-05,9.955251296876225e-05,1.6727404057057411
19,1,-12.400566431940819,7.468806334904262,4.9179995704670345,137.2862687986724,9.947713847675328e-05,9.947713847675328e-05,2.2828912613530683
20,1,-13.831621968016332,8.08633463723319,7.783972147776156,171.42370259031958,9.939596377132104e-05,9.939596377132104e-05,3.106120738418876
21,1,-14.676726788890605,9.408617097504285,11.059358443532672,186.03903552464075,9.930900808799073e-05,9.930900808799073e-05,1.0214162429517337
22,1,-16.08746135478117,9.397859485781922,6.648512054462822,200.44541440691268,9.921629203217438e-05,9.921629203217438e-05,1.1248177371502621
23,1,-17.065134885359782,10.42104251044137,8.244206550169965,213.47090067182268,9.911783757428782e-05,9.911783757428782e-05,0.6255056908557871
24,1,-17.96628965650286,11.615739647223025,6.944883042452287,256.0359191894531,9.901366804454452e-05,9.901366804454452e-05,0.3330135569870989
25,1,-18.430969783238,11.528529838639862,5.964198352122794,198.18386256938078,9.890380812742751e-05,9.890380812742751e-05,0.6039292122009081
26,1,-19.344289896439534,12.070119906444939,6.464100669233167,180.0307718393754,9.87882838558394e-05,9.87882838558394e-05,0.30410457343403924
27,1,-20.27853704958546,12.083037717001778,4.994625806808472,213.1212831224714,9.866712260493408e-05,9.866712260493408e-05,0.8415772538029936
28,1,-21.30083656311035,12.978844545325455,5.244455867884111,290.17487740030094,9.854035308562943e-05,9.854035308562943e-05,0.3354301207150871
29,1,-22.009932537468114,13.798059045052042,7.349195735795157,251.93960298810686,9.84080053378041e-05,9.84080053378041e-05,0.31136304511729124
30,1,-22.589450369075852,15.1132458959307,6.771538451009867,270.50308352100603,9.827011072317885e-05,9.827011072317885e-05,0.667885324809911
31,1,-23.300111498151505,15.445693502620776,5.96174837618458,295.33387561720247,9.81267019178851e-05,9.81267019178851e-05,1.0104210412103405
32,1,-23.86433422322176,17.25003734900027,4.498189308205429,479.81682999280036,9.797781290472193e-05,9.797781290472193e-05,0.9526540290459978
33,1,-24.51041786038146,18.360486945327448,4.982157648826132,319.82985368066903,9.782347896510328e-05,9.782347896510328e-05,2.4504231079543644
34,1,-25.2148072378976,19.009653753163864,6.546940591870522,406.67511165385343,9.766373667069724e-05,9.766373667069724e-05,1.048752390755318
35,1,-25.6709670631253,21.25249327445517,5.764010782144507,399.63872045400194,9.749862387476043e-05,9.749862387476043e-05,1.5679591037745118
36,1,-26.190487336139288,22.711738313947404,8.992009729755168,517.9514391373615,9.732817970316758e-05,9.732817970316758e-05,0.0
37,1,-27.34004931547204,21.700102767165827,5.591441847840134,569.8102963505959,9.715244454514028e-05,9.715244454514028e-05,0.1490127152036448
38,1,-27.413127276362204,22.568260368035766,9.471507931242185,419.67259091747053,9.697146004367642e-05,9.697146004367642e-05,0.9553126166986695
39,1,-28.459830848538147,24.271134863094407,8.448847038405281,545.205056015326,9.678526908568187e-05,9.678526908568187e-05,0.2404933279383136
40,1,-29.44609984573053,26.51487840924944,8.612838005533023,623.1128979118503,9.659391579180796e-05,9.659391579180796e-05,0.6476302793860764
41,1,-29.901135853358678,26.01364682645214,8.08851538628948,482.26222337995256,9.63974455059966e-05,9.63974455059966e-05,1.6243597443550026
42,1,-30.17000385206573,28.27492571850212,8.681651738225197,363.91536588084944,9.619590478473524e-05,9.619590478473524e-05,0.31914787617146767
43,1,-31.308714574697067,28.582847147571798,8.611060084128866,796.400896500568,9.598934138602444e-05,9.598934138602444e-05,0.8106440681376881
44,1,-31.862328393118723,30.6136248063068,10.918623077626131,571.3527274618343,9.577780425806138e-05,9.577780425806138e-05,1.139713438577566
45,1,-32.65499196733747,29.906670901240133,12.642376826733958,551.4385146316217,9.556134352764055e-05,9.556134352764055e-05,0.22442901533605497
46,1,-33.234310344773895,30.049973137524663,11.539310720502113,648.4635654371612,9.534001048827536e-05,9.534001048827536e-05,0.3227594165318326
47,1,-33.90986633300781,33.39591337710011,9.974019082225098,865.6792362758091,9.511385758804388e-05,9.511385758804388e-05,1.365259446232011
48,1,-34.08701577478526,34.197317454279684,8.560567077325315,724.7193204918686,9.488293841715998e-05,9.488293841715998e-05,0.20177655804965228
49,1,-34.401057885617625,34.45196708367796,9.5124948608632,646.9462080974968,9.464730769527465e-05,9.464730769527465e-05,0.11015948049187109
50,1,-34.58876683760663,35.590736408622895,8.091302010477806,786.5944723012497,9.440702125850928e-05,9.440702125850928e-05,2.5428548726246443
51,1,-35.00095678835499,37.48472003547513,6.992231578243022,795.2188026272521,9.416213604622459e-05,9.416213604622459e-05,1.9010286872640934
52,1,-35.52826394840162,35.81078007756447,7.715105896093408,627.840486020458,9.391271008752787e-05,9.391271008752787e-05,2.547340482524114
53,1,-36.16969042408223,41.46656678647411,6.596702860326183,805.63050748864,9.36588024875223e-05,9.36588024875223e-05,1.8287641057656474
54,1,-36.37586204373107,38.479134384466676,7.687868142614559,703.226278811085,9.340047341330088e-05,9.340047341330088e-05,1.3380849399971677
55,1,-36.76640094056421,39.97513272810956,7.250352455645191,754.9648823640784,9.313778407968933e-05,9.313778407968933e-05,0.5492805721661564
56,1,-37.66861249962631,41.8540907879265,7.536431740741341,683.8085202586894,9.287079673473999e-05,9.287079673473999e-05,0.5637557325165587
57,1,-37.78723728413485,41.0221612696745,8.646892777511052,571.6783058010802,9.259957464498165e-05,9.259957464498165e-05,0.6308153286677027
58,1,-38.06152779715402,42.31398562995755,4.997068045090656,465.81363631267936,9.23241820804271e-05,9.23241820804271e-05,0.35381872577173085
59,1,-38.079711680509604,42.56737681797573,9.622394294154887,607.8028539540817,9.204468429934373e-05,9.204468429934373e-05,0.4945506863190054
60,1,-38.81842827310368,47.03128098468391,12.635220666320956,1044.7338353371133,9.17611475327898e-05,9.17611475327898e-05,0.047960458502992395
61,1,-39.25045262550821,42.406419306385274,7.108272498967696,690.3815538056043,9.14736389689197e-05,9.14736389689197e-05,0.2404166616323054
62,1,-44.389858167998646,41.99324915360431,26.28601142338344,607.0422061219507,9.118222673706286e-05,9.118222673706286e-05,0.7747483593954355
63,1,-41.44548182584801,47.24054893182249,8.900992645292867,1206.5671841368383,9.08869798915796e-05,9.08869798915796e-05,1.1147913174225481
64,1,-43.45466979669065,45.815511781342174,13.317094754199593,517.0896821313975,9.058796839549748e-05,9.058796839549748e-05,1.7841160547589792
