episodes,sum_wins,avg_actor_loss,avg_critic_loss,avg_actor_grad_norm,avg_critic_grad_norm,avg_actor_learning_rate,avg_critic_learning_rate,avg_reward
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.28254732653061215
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15346387244897952
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
